start_date,all_count,province_count,federal_count
2020-01-07,2,1.0,
2020-01-20,1,1.0,
2020-01-21,2,2.0,
2020-01-22,1,1.0,
2020-01-23,2,,1.0
2020-01-24,1,1.0,
2020-01-25,5,2.0,2.0
2020-01-26,2,1.0,1.0
2020-01-27,1,1.0,
2020-01-28,6,5.0,
2020-01-29,1,,
2020-01-30,1,,
2020-01-31,5,4.0,
2020-02-02,2,,2.0
2020-02-03,2,1.0,
2020-02-04,2,2.0,
2020-02-06,1,1.0,
2020-02-07,4,2.0,
2020-02-09,1,,1.0
2020-02-10,1,1.0,
2020-02-12,1,1.0,
2020-02-13,2,2.0,
2020-02-14,2,1.0,1.0
2020-02-15,1,,1.0
2020-02-19,1,1.0,
2020-02-20,2,2.0,
2020-02-23,1,1.0,
2020-02-24,5,3.0,
2020-02-26,1,,
2020-02-27,2,2.0,
2020-02-28,7,4.0,
2020-02-29,3,3.0,
2020-03-01,1,1.0,
2020-03-02,3,2.0,
2020-03-03,7,6.0,
2020-03-04,6,5.0,1.0
2020-03-05,9,6.0,
2020-03-06,4,3.0,1.0
2020-03-07,3,3.0,
2020-03-08,2,,2.0
2020-03-09,10,8.0,
2020-03-10,18,9.0,
2020-03-11,28,13.0,
2020-03-12,53,24.0,
2020-03-13,99,38.0,5.0
2020-03-14,59,25.0,
2020-03-15,65,30.0,2.0
2020-03-16,140,53.0,3.0
2020-03-17,129,70.0,
2020-03-18,105,49.0,3.0
2020-03-19,99,54.0,2.0
2020-03-20,121,56.0,2.0
2020-03-21,42,27.0,
2020-03-22,44,29.0,
2020-03-23,96,55.0,
2020-03-24,78,20.0,1.0
2020-03-25,63,36.0,2.0
2020-03-26,48,28.0,2.0
2020-03-27,89,60.0,2.0
2020-03-28,23,14.0,
2020-03-29,21,10.0,
2020-03-30,68,39.0,3.0
2020-03-31,64,37.0,1.0
2020-04-01,61,36.0,
2020-04-02,57,39.0,1.0
2020-04-03,61,27.0,2.0
2020-04-04,32,15.0,1.0
2020-04-05,23,14.0,1.0
2020-04-06,77,31.0,1.0
2020-04-07,48,25.0,3.0
2020-04-08,68,34.0,1.0
2020-04-09,75,39.0,1.0
2020-04-10,26,18.0,
2020-04-11,17,13.0,
2020-04-12,8,7.0,
2020-04-13,38,21.0,2.0
2020-04-14,42,20.0,4.0
2020-04-15,60,27.0,4.0
2020-04-16,51,27.0,2.0
2020-04-17,50,27.0,2.0
2020-04-18,13,8.0,1.0
2020-04-19,7,4.0,
