Province/ territory,Declaration of state of emergency,Filter,
AB,03-17-2020,0,
BC,03-18-2020,0,
MB,03-20-2020,0,
NB,03-19-2020,0,
NL,03-18-2020,0,
NS,03-22-2020,0,
NT,03-18-2020,0,
NU,03-19-2020,0,
ON,03-17-2020,0,
PE,03-16-2020,0,
QC,03-13-2020,0,
SK,03-18-2020,0,
YT,03-18-2020,0,
Province/ territory,School closures,Filter,
AB,03-16-2020,1,
BC,03-18-2020,1,
MB,03-23-2020,1,
NB,03-19-2020,1,
NL,03-17-2020,1,
NS,03-15-2020,1,
NT,03-16-2020,1,
NU,03-17-2020,1,
ON,03-13-2020,1,
PE,03-15-2020,1,
QC,03-13-2020,1,
SK,03-16-2020,1,
YT,03-18-2020,1,
Province/ territory,First case announcement,Filter,
AB,03-05-2020,2,
BC,01-28-2020,2,
MB,03-12-2020,2,
NB,03-12-2020,2,
NL,03-14-2020,2,
NS,03-15-2020,2,
NT,03-21-2020,2,
NU,,2,
ON,01-25-2020,2,
PE,03-14-2020,2,
QC,02-28-2020,2,
SK,03-12-2020,2,
YT,03-22-2020,2,
Province/ territory,First death announcement,Filter,
AB,03-19-2020,3,
BC,03-09-2020,3,
MB,03-27-2020,3,
NB,,3,
NL,03-29-2020,3,
NS,04-06-2020,3,
NT,,3,
NU,,3,
ON,03-17-2020,3,
PE,,3,
QC,03-19-2020,3,
SK,03-30-2020,3,
YT,,3,
