subregion,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19
Toronto,1,2,5,7,7,7,7
Montreal,0,4,6,10,10,10,10
Vancouver,0,2,8,8,9,9,9
Calgary,0,0,3,4,6,6,6
Edmonton,0,1,3,6,7,7,7
Gatineau,0,1,5,8,8,8,8
Ottawa,0,2,8,9,10,10,10
Winnipeg,0,2,3,4,5,5,7
Quebec City,0,0,5,6,7,7,7
Hamilton,0,2,8,10,10,10,10
Kitchener-Waterloo,1,3,8,9,10,10,10
London,0,0,4,6,8,8,8
Victoria,0,0,3,4,4,6,7
Halifax,0,0,6,7,7,7,8
Oshawa,0,3,6,7,7,8,8
Windsor,0,3,6,6,6,6,6
Saskatoon,0,3,7,9,9,9,9
Niagara,0,0,3,3,5,5,5
Regina,0,0,7,9,9,9,9
St. John's,0,1,3,5,6,6,6
Kelowna,0,0,5,6,6,7,7
