,start_date,region,subregion,intervention_category,max_event_size
6,2020-03-12,British Columbia,Vancouver,Public event size restriction (<=250),250
10,2020-03-12,Ontario,Toronto,Public event size restriction (<=250),250
16,2020-03-13,Ontario,Hamilton,Public event size restriction (<=250),250
4,2020-03-13,Quebec,Gatineau,Public event size restriction (<=250),250
15,2020-03-13,Ontario,Kitchener-Waterloo,Public event size restriction (<=250),250
13,2020-03-13,Quebec,Quebec City,Public event size restriction (<=250),250
20,2020-03-14,Ontario,Windsor,Public event size restriction (<=250),250
0,2020-03-16,British Columbia,Kelowna,Public event size restriction (<=50),50
5,2020-03-16,British Columbia,Victoria,Public event size restriction (<=50),50
21,2020-03-16,Ontario,Windsor,Public event size restriction (<=50),50
23,2020-03-17,Ontario,Niagara,Public event size restriction (<=50),50
14,2020-03-17,Ontario,Kitchener-Waterloo,Public event size restriction (<=50),50
18,2020-03-20,Saskatchewan,Saskatoon,Public event size restriction (<=25),25
11,2020-03-20,Saskatchewan,Regina,Public event size restriction (<=5),5
2,2020-03-22,Quebec,Montreal,Public event size restriction (<=2),2
19,2020-03-26,Saskatchewan,Saskatoon,Public event size restriction (<=10),10
1,2020-03-27,Manitoba,Winnipeg,Public event size restriction (<=10),10
22,2020-03-29,Ontario,Windsor,Public event size restriction (<=5),5
3,2020-03-30,Ontario,Ottawa,Public event size restriction (<=5),5
17,2020-03-30,Ontario,Hamilton,Public event size restriction (<=5),5
9,2020-03-31,Ontario,Toronto,Public event size restriction (<=5),5
24,2020-04-03,Ontario,Niagara,Public event size restriction (<=5),5
12,2020-04-08,Ontario,London,Public event size restriction (<=5),5
